sample_idx,fraction,mode,true_label,base_pred,masked_pred,score_before,score_after,score_drop,flipped,dataset,model
8,0.05,bottom,23,23,23,9.002400576563156,8.026011653273384,0.9763889232897718,0.0,Adiac,MrSQM
8,0.05,random,23,23,23,9.002400576563156,,2.449888939758382,0.0,Adiac,MrSQM
8,0.05,top,23,23,23,9.002400576563156,3.58441682959051,5.417983746972646,0.0,Adiac,MrSQM
8,0.1,bottom,23,23,23,9.002400576563156,8.04687824447695,0.955522332086206,0.0,Adiac,MrSQM
8,0.1,random,23,23,23,9.002400576563156,,2.225342728048714,0.0,Adiac,MrSQM
8,0.1,top,23,23,23,9.002400576563156,4.552215237023943,4.450185339539213,0.0,Adiac,MrSQM
8,0.2,bottom,23,23,23,9.002400576563156,6.665710773605004,2.336689802958152,0.0,Adiac,MrSQM
8,0.2,random,23,23,23,9.002400576563156,,3.574837612221547,0.0,Adiac,MrSQM
8,0.2,top,23,23,36,9.002400576563156,2.334488803962728,6.667911772600428,1.0,Adiac,MrSQM
9,0.05,bottom,5,5,5,10.886660539251448,10.105629230091308,0.7810313091601397,0.0,Adiac,MrSQM
9,0.05,random,5,5,5,10.886660539251448,,2.4936022032104983,0.0,Adiac,MrSQM
9,0.05,top,5,5,5,10.886660539251448,8.33576984989056,2.550890689360888,0.0,Adiac,MrSQM
9,0.1,bottom,5,5,5,10.886660539251448,10.08568691739477,0.8009736218566772,0.0,Adiac,MrSQM
9,0.1,random,5,5,5,10.886660539251448,,3.3592747706109,0.0,Adiac,MrSQM
9,0.1,top,5,5,5,10.886660539251448,7.904626170410394,2.982034368841054,0.0,Adiac,MrSQM
9,0.2,bottom,5,5,5,10.886660539251448,9.314279399529182,1.5723811397222658,0.0,Adiac,MrSQM
9,0.2,random,5,5,5,10.886660539251448,,3.7416502960841327,0.0,Adiac,MrSQM
9,0.2,top,5,5,5,10.886660539251448,7.116523408390923,3.770137130860525,0.0,Adiac,MrSQM
10,0.05,bottom,16,16,16,10.278236000445672,9.138457326427014,1.1397786740186593,0.0,Adiac,MrSQM
10,0.05,random,16,16,16,10.278236000445672,,2.3318460478345764,0.0,Adiac,MrSQM
10,0.05,top,16,16,16,10.278236000445672,6.288940487741461,3.9892955127042127,0.0,Adiac,MrSQM
10,0.1,bottom,16,16,16,10.278236000445672,9.618516900882302,0.6597190995633717,0.0,Adiac,MrSQM
10,0.1,random,16,16,16,10.278236000445672,,2.4579109471745704,0.0,Adiac,MrSQM
10,0.1,top,16,16,16,10.278236000445672,6.178510012498975,4.099725987946698,0.0,Adiac,MrSQM
10,0.2,bottom,16,16,16,10.278236000445672,8.997998554346239,1.2802374460994344,0.0,Adiac,MrSQM
10,0.2,random,16,16,16,10.278236000445672,,4.022638604854859,0.0,Adiac,MrSQM
10,0.2,top,16,16,16,10.278236000445672,5.682717373673504,4.5955186267721695,0.0,Adiac,MrSQM
11,0.05,bottom,5,5,5,11.80955708319787,10.564701717216606,1.2448553659812642,0.0,Adiac,MrSQM
11,0.05,random,5,5,5,11.80955708319787,,2.995076406665058,0.0,Adiac,MrSQM
11,0.05,top,5,5,5,11.80955708319787,9.72729556120771,2.0822615219901603,0.0,Adiac,MrSQM
11,0.1,bottom,5,5,5,11.80955708319787,9.1994663649076,2.610090718290272,0.0,Adiac,MrSQM
11,0.1,random,5,5,5,11.80955708319787,,2.949581934808691,0.0,Adiac,MrSQM
11,0.1,top,5,5,5,11.80955708319787,8.680778346949479,3.1287787362483908,0.0,Adiac,MrSQM
11,0.2,bottom,5,5,5,11.80955708319787,7.564040295059943,4.245516788137927,0.0,Adiac,MrSQM
11,0.2,random,5,5,5,11.80955708319787,,4.7715438755789314,0.0,Adiac,MrSQM
11,0.2,top,5,5,5,11.80955708319787,9.49246990281317,2.3170871803847,0.0,Adiac,MrSQM
12,0.05,bottom,17,17,17,7.937627036338311,6.424772691266441,1.5128543450718697,0.0,Adiac,MrSQM
12,0.05,random,17,17,17,7.937627036338311,,2.611477593138837,0.0,Adiac,MrSQM
12,0.05,top,17,17,17,7.937627036338311,5.309268200620585,2.6283588357177257,0.0,Adiac,MrSQM
12,0.1,bottom,17,17,17,7.937627036338311,6.672575318083036,1.2650517182552754,0.0,Adiac,MrSQM
12,0.1,random,17,17,17,7.937627036338311,,2.461701125087331,0.0,Adiac,MrSQM
12,0.1,top,17,17,17,7.937627036338311,4.5579158200221,3.3797112163162115,0.0,Adiac,MrSQM
12,0.2,bottom,17,17,17,7.937627036338311,5.84882621634606,2.088800819992251,0.0,Adiac,MrSQM
12,0.2,random,17,17,22,7.937627036338311,,3.752511900902649,0.3333333333333333,Adiac,MrSQM
12,0.2,top,17,17,17,7.937627036338311,4.98197388613078,2.9556531502075307,0.0,Adiac,MrSQM
13,0.05,bottom,9,9,9,7.465516434114052,6.826695770380593,0.6388206637334592,0.0,Adiac,MrSQM
13,0.05,random,9,9,9,7.465516434114052,,2.664214818036741,0.0,Adiac,MrSQM
13,0.05,top,9,9,9,7.465516434114052,5.8313139226526,1.634202511461452,0.0,Adiac,MrSQM
13,0.1,bottom,9,9,9,7.465516434114052,6.566270682669254,0.8992457514447985,0.0,Adiac,MrSQM
13,0.1,random,9,9,26,7.465516434114052,,3.463380628320268,0.6666666666666666,Adiac,MrSQM
13,0.1,top,9,9,9,7.465516434114052,4.794815019583114,2.6707014145309387,0.0,Adiac,MrSQM
13,0.2,bottom,9,9,9,7.465516434114052,5.483401236126552,1.9821151979875005,0.0,Adiac,MrSQM
13,0.2,random,9,9,25,7.465516434114052,,4.066368773211461,0.6666666666666666,Adiac,MrSQM
13,0.2,top,9,9,9,7.465516434114052,5.075316802912824,2.390199631201228,0.0,Adiac,MrSQM
14,0.05,bottom,25,25,25,5.166624546461856,5.415879084377784,-0.2492545379159283,0.0,Adiac,MrSQM
14,0.05,random,25,25,24,5.166624546461856,,0.6498795804563543,0.3333333333333333,Adiac,MrSQM
14,0.05,top,25,25,25,5.166624546461856,3.1342331676055646,2.032391378856292,0.0,Adiac,MrSQM
14,0.1,bottom,25,25,35,5.166624546461856,2.8819026974635875,2.2847218489982684,1.0,Adiac,MrSQM
14,0.1,random,25,25,28,5.166624546461856,,3.3938191940230404,0.6666666666666666,Adiac,MrSQM
14,0.1,top,25,25,23,5.166624546461856,3.3019119585095327,1.8647125879523232,1.0,Adiac,MrSQM
14,0.2,bottom,25,25,35,5.166624546461856,3.014554637390801,2.152069909071055,1.0,Adiac,MrSQM
14,0.2,random,25,25,34,5.166624546461856,,5.0108402855888805,1.0,Adiac,MrSQM
14,0.2,top,25,25,36,5.166624546461856,2.368667669803215,2.797956876658641,1.0,Adiac,MrSQM
16,0.05,bottom,9,9,9,6.4652414504501765,6.039918512092616,0.4253229383575601,0.0,Adiac,MrSQM
16,0.05,random,9,9,17,6.4652414504501765,,1.5820062725642436,0.3333333333333333,Adiac,MrSQM
16,0.05,top,9,9,9,6.4652414504501765,5.4989528061695205,0.966288644280656,0.0,Adiac,MrSQM
16,0.1,bottom,9,9,9,6.4652414504501765,5.904393628494136,0.5608478219560409,0.0,Adiac,MrSQM
16,0.1,random,9,9,33,6.4652414504501765,,4.00635373060184,1.0,Adiac,MrSQM
16,0.1,top,9,9,9,6.4652414504501765,4.791447997854642,1.6737934525955342,0.0,Adiac,MrSQM
16,0.2,bottom,9,9,9,6.4652414504501765,5.76137213794022,0.7038693125099567,0.0,Adiac,MrSQM
16,0.2,random,9,9,17,6.4652414504501765,,2.648868584161741,0.3333333333333333,Adiac,MrSQM
16,0.2,top,9,9,9,6.4652414504501765,5.03968500225522,1.425556448194956,0.0,Adiac,MrSQM
17,0.05,bottom,18,18,18,5.56607192864306,3.975940779288565,1.590131149354495,0.0,Adiac,MrSQM
17,0.05,random,18,18,22,5.56607192864306,,2.0537523751327025,0.3333333333333333,Adiac,MrSQM
17,0.05,top,18,18,17,5.56607192864306,2.6111706716801444,2.954901256962916,1.0,Adiac,MrSQM
17,0.1,bottom,18,18,18,5.56607192864306,3.372699044576119,2.193372884066941,0.0,Adiac,MrSQM
17,0.1,random,18,18,16,5.56607192864306,,2.362373527308592,0.6666666666666666,Adiac,MrSQM
17,0.1,top,18,18,33,5.56607192864306,2.146032633417041,3.4200392952260192,1.0,Adiac,MrSQM
17,0.2,bottom,18,18,2,5.56607192864306,2.354468485972557,3.2116034426705027,1.0,Adiac,MrSQM
17,0.2,random,18,18,25,5.56607192864306,,2.799519416372593,1.0,Adiac,MrSQM
17,0.2,top,18,18,17,5.56607192864306,2.3052901580240044,3.260781770619056,1.0,Adiac,MrSQM
18,0.05,bottom,24,24,20,6.1991158497192425,4.531526094251002,1.6675897554682404,1.0,Adiac,MrSQM
18,0.05,random,24,24,23,6.1991158497192425,,1.309419487523682,0.3333333333333333,Adiac,MrSQM
18,0.05,top,24,24,15,6.1991158497192425,2.14886352782973,4.050252321889513,1.0,Adiac,MrSQM
18,0.1,bottom,24,24,24,6.1991158497192425,4.506399023921945,1.692716825797297,0.0,Adiac,MrSQM
18,0.1,random,24,24,23,6.1991158497192425,,2.449519148057046,0.6666666666666666,Adiac,MrSQM
18,0.1,top,24,24,15,6.1991158497192425,2.13403752131806,4.065078328401183,1.0,Adiac,MrSQM
18,0.2,bottom,24,24,15,6.1991158497192425,3.56091219642928,2.638203653289963,1.0,Adiac,MrSQM
18,0.2,random,24,24,25,6.1991158497192425,,3.85876359010868,1.0,Adiac,MrSQM
18,0.2,top,24,24,15,6.1991158497192425,2.364850085218264,3.834265764500979,1.0,Adiac,MrSQM
21,0.05,bottom,24,24,24,5.042749394623544,4.459931430194083,0.5828179644294611,0.0,Adiac,MrSQM
21,0.05,random,24,24,22,5.042749394623544,,1.9480940453060336,0.6666666666666666,Adiac,MrSQM
21,0.05,top,24,24,24,5.042749394623544,3.2231801616948177,1.8195692329287263,0.0,Adiac,MrSQM
21,0.1,bottom,24,24,24,5.042749394623544,4.325629130088935,0.7171202645346098,0.0,Adiac,MrSQM
21,0.1,random,24,24,24,5.042749394623544,,1.5239084288974782,0.0,Adiac,MrSQM
21,0.1,top,24,24,24,5.042749394623544,3.327496985647605,1.7152524089759391,0.0,Adiac,MrSQM
21,0.2,bottom,24,24,24,5.042749394623544,3.366624772881298,1.6761246217422463,0.0,Adiac,MrSQM
21,0.2,random,24,24,23,5.042749394623544,,2.0325480940502647,0.3333333333333333,Adiac,MrSQM
21,0.2,top,24,24,24,5.042749394623544,3.4341261469412645,1.6086232476822795,0.0,Adiac,MrSQM
22,0.05,bottom,13,13,13,7.088808960740532,6.044017504488927,1.0447914562516043,0.0,Adiac,MrSQM
22,0.05,random,13,13,13,7.088808960740532,,3.021046801121225,0.0,Adiac,MrSQM
22,0.05,top,13,13,2,7.088808960740532,3.7932831281060464,3.2955258326344854,1.0,Adiac,MrSQM
22,0.1,bottom,13,13,13,7.088808960740532,5.777749681579386,1.311059279161146,0.0,Adiac,MrSQM
22,0.1,random,13,13,21,7.088808960740532,,3.035260585075733,0.3333333333333333,Adiac,MrSQM
22,0.1,top,13,13,2,7.088808960740532,3.007251350560236,4.081557610180296,1.0,Adiac,MrSQM
22,0.2,bottom,13,13,13,7.088808960740532,4.874885232714779,2.213923728025753,0.0,Adiac,MrSQM
22,0.2,random,13,13,21,7.088808960740532,,2.762223301320728,0.3333333333333333,Adiac,MrSQM
22,0.2,top,13,13,2,7.088808960740532,2.4371931255781467,4.651615835162385,1.0,Adiac,MrSQM
25,0.05,bottom,22,22,22,9.4108256040281,7.998278648245937,1.4125469557821626,0.0,Adiac,MrSQM
25,0.05,random,22,22,22,9.4108256040281,,2.281556748430232,0.0,Adiac,MrSQM
25,0.05,top,22,22,22,9.4108256040281,6.784801127919306,2.6260244761087934,0.0,Adiac,MrSQM
25,0.1,bottom,22,22,22,9.4108256040281,7.449462211858233,1.9613633921698668,0.0,Adiac,MrSQM
25,0.1,random,22,22,22,9.4108256040281,,4.546879195447787,0.0,Adiac,MrSQM
25,0.1,top,22,22,22,9.4108256040281,6.084367698365507,3.3264579056625925,0.0,Adiac,MrSQM
25,0.2,bottom,22,22,22,9.4108256040281,6.745273821508029,2.6655517825200707,0.0,Adiac,MrSQM
25,0.2,random,22,22,22,9.4108256040281,,4.436009076823721,0.0,Adiac,MrSQM
25,0.2,top,22,22,22,9.4108256040281,5.554200650715394,3.856624953312705,0.0,Adiac,MrSQM
26,0.05,bottom,11,11,11,9.228179793593757,7.883370583437181,1.3448092101565736,0.0,Adiac,MrSQM
26,0.05,random,11,11,18,9.228179793593757,,3.500002631910395,0.3333333333333333,Adiac,MrSQM
26,0.05,top,11,11,11,9.228179793593757,6.756538620038196,2.4716411735555592,0.0,Adiac,MrSQM
26,0.1,bottom,11,11,11,9.228179793593757,7.978397709666917,1.2497820839268377,0.0,Adiac,MrSQM
26,0.1,random,11,11,28,9.228179793593757,,5.446854758129608,0.6666666666666666,Adiac,MrSQM
26,0.1,top,11,11,11,9.228179793593757,6.74404337185905,2.4841364217347053,0.0,Adiac,MrSQM
26,0.2,bottom,11,11,11,9.228179793593757,7.1096215832221725,2.1185582103715825,0.0,Adiac,MrSQM
26,0.2,random,11,11,19,9.228179793593757,,4.15034098173782,0.3333333333333333,Adiac,MrSQM
26,0.2,top,11,11,11,9.228179793593757,6.18780155250309,3.040378241090665,0.0,Adiac,MrSQM
28,0.05,bottom,25,25,25,6.549472569711631,5.198856178987953,1.350616390723678,0.0,Adiac,MrSQM
28,0.05,random,25,25,25,6.549472569711631,,2.7275583529848144,0.0,Adiac,MrSQM
28,0.05,top,25,25,25,6.549472569711631,4.049801212290507,2.499671357421123,0.0,Adiac,MrSQM
28,0.1,bottom,25,25,36,6.549472569711631,0.8157078615842119,5.733764708127419,1.0,Adiac,MrSQM
28,0.1,random,25,25,30,6.549472569711631,,3.7655470277688488,0.6666666666666666,Adiac,MrSQM
28,0.1,top,25,25,25,6.549472569711631,3.199019095103758,3.3504534746078725,0.0,Adiac,MrSQM
28,0.2,bottom,25,25,36,6.549472569711631,-0.7665065409802557,7.315979110691886,1.0,Adiac,MrSQM
28,0.2,random,25,25,29,6.549472569711631,,3.939670418899406,0.3333333333333333,Adiac,MrSQM
28,0.2,top,25,25,36,6.549472569711631,2.986874618782177,3.5625979509294536,1.0,Adiac,MrSQM
29,0.05,bottom,25,25,25,4.339281678699329,4.427712144383771,-0.0884304656844419,0.0,Adiac,MrSQM
29,0.05,random,25,25,24,4.339281678699329,,2.012241181365132,0.6666666666666666,Adiac,MrSQM
29,0.05,top,25,25,25,4.339281678699329,2.4094730773766257,1.929808601322704,0.0,Adiac,MrSQM
29,0.1,bottom,25,25,25,4.339281678699329,3.4306798387177624,0.908601839981567,0.0,Adiac,MrSQM
29,0.1,random,25,25,15,4.339281678699329,,2.852279880017599,0.6666666666666666,Adiac,MrSQM
29,0.1,top,25,25,14,4.339281678699329,1.2209744653680024,3.118307213331327,1.0,Adiac,MrSQM
29,0.2,bottom,25,25,25,4.339281678699329,4.194079487140189,0.1452021915591403,0.0,Adiac,MrSQM
29,0.2,random,25,25,17,4.339281678699329,,3.810904919425416,1.0,Adiac,MrSQM
29,0.2,top,25,25,14,4.339281678699329,0.8208987395497788,3.5183829391495505,1.0,Adiac,MrSQM
31,0.05,bottom,3,3,3,6.504024857041355,5.902847692442337,0.6011771645990178,0.0,Adiac,MrSQM
31,0.05,random,3,3,5,6.504024857041355,,2.305205650096644,0.3333333333333333,Adiac,MrSQM
31,0.05,top,3,3,3,6.504024857041355,4.163040357955262,2.340984499086092,0.0,Adiac,MrSQM
31,0.1,bottom,3,3,3,6.504024857041355,5.24421755588494,1.2598073011564148,0.0,Adiac,MrSQM
31,0.1,random,3,3,6,6.504024857041355,,3.88727575501202,1.0,Adiac,MrSQM
31,0.1,top,3,3,8,6.504024857041355,2.947877365406651,3.556147491634704,1.0,Adiac,MrSQM
31,0.2,bottom,3,3,8,6.504024857041355,4.1161669181451535,2.387857938896201,1.0,Adiac,MrSQM
31,0.2,random,3,3,15,6.504024857041355,,4.441016068623916,1.0,Adiac,MrSQM
31,0.2,top,3,3,8,6.504024857041355,3.0918577912788683,3.4121670657624863,1.0,Adiac,MrSQM
32,0.05,bottom,12,12,12,4.2666298913911085,3.042336382263068,1.2242935091280405,0.0,Adiac,MrSQM
32,0.05,random,12,12,9,4.2666298913911085,,1.71115164843728,0.3333333333333333,Adiac,MrSQM
32,0.05,top,12,12,12,4.2666298913911085,2.799290673127316,1.4673392182637928,0.0,Adiac,MrSQM
32,0.1,bottom,12,12,12,4.2666298913911085,3.114598114601515,1.1520317767895936,0.0,Adiac,MrSQM
32,0.1,random,12,12,2,4.2666298913911085,,2.5403164924748887,1.0,Adiac,MrSQM
32,0.1,top,12,12,33,4.2666298913911085,0.9303789294114904,3.3362509619796183,1.0,Adiac,MrSQM
32,0.2,bottom,12,12,2,4.2666298913911085,0.4075489005634147,3.8590809908276937,1.0,Adiac,MrSQM
32,0.2,random,12,12,13,4.2666298913911085,,3.240739360712913,1.0,Adiac,MrSQM
32,0.2,top,12,12,36,4.2666298913911085,2.792692559607544,1.4739373317835645,1.0,Adiac,MrSQM
34,0.05,bottom,29,29,29,9.049625095337731,8.804190118548137,0.2454349767895944,0.0,Adiac,MrSQM
34,0.05,random,29,29,29,9.049625095337731,,2.900354827961985,0.0,Adiac,MrSQM
34,0.05,top,29,29,29,9.049625095337731,6.176228831909625,2.8733962634281065,0.0,Adiac,MrSQM
34,0.1,bottom,29,29,29,9.049625095337731,8.254134454275277,0.7954906410624538,0.0,Adiac,MrSQM
34,0.1,random,29,29,11,9.049625095337731,,4.900839445459728,0.6666666666666666,Adiac,MrSQM
34,0.1,top,29,29,29,9.049625095337731,5.341941214740161,3.70768388059757,0.0,Adiac,MrSQM
34,0.2,bottom,29,29,29,9.049625095337731,5.980078792138454,3.069546303199277,0.0,Adiac,MrSQM
34,0.2,random,29,29,30,9.049625095337731,,4.439103175011939,0.3333333333333333,Adiac,MrSQM
34,0.2,top,29,29,36,9.049625095337731,4.753011349566424,4.296613745771308,1.0,Adiac,MrSQM
35,0.05,bottom,28,28,28,9.073663852463516,8.593889746796696,0.4797741056668201,0.0,Adiac,MrSQM
35,0.05,random,28,28,30,9.073663852463516,,2.6275771760978737,0.3333333333333333,Adiac,MrSQM
35,0.05,top,28,28,28,9.073663852463516,5.546064067915393,3.527599784548124,0.0,Adiac,MrSQM
35,0.1,bottom,28,28,28,9.073663852463516,8.555803677598131,0.517860174865385,0.0,Adiac,MrSQM
35,0.1,random,28,28,33,9.073663852463516,,3.600281233804997,1.0,Adiac,MrSQM
35,0.1,top,28,28,33,9.073663852463516,4.786094978787408,4.287568873676109,1.0,Adiac,MrSQM
35,0.2,bottom,28,28,28,9.073663852463516,7.898378645907572,1.1752852065559445,0.0,Adiac,MrSQM
35,0.2,random,28,28,31,9.073663852463516,,3.545123145535696,0.6666666666666666,Adiac,MrSQM
35,0.2,top,28,28,33,9.073663852463516,5.375509567934989,3.698154284528528,1.0,Adiac,MrSQM
37,0.05,bottom,12,12,12,4.654679508756526,3.83149183873586,0.823187670020666,0.0,Adiac,MrSQM
37,0.05,random,12,12,13,4.654679508756526,,1.704784199920378,0.6666666666666666,Adiac,MrSQM
37,0.05,top,12,12,12,4.654679508756526,2.6268714016809307,2.027808107075595,0.0,Adiac,MrSQM
37,0.1,bottom,12,12,12,4.654679508756526,3.6687836627975385,0.985895845958987,0.0,Adiac,MrSQM
37,0.1,random,12,12,21,4.654679508756526,,2.9430172421964365,1.0,Adiac,MrSQM
37,0.1,top,12,12,2,4.654679508756526,2.1836466346039347,2.471032874152591,1.0,Adiac,MrSQM
37,0.2,bottom,12,12,12,4.654679508756526,2.985428866454402,1.669250642302123,0.0,Adiac,MrSQM
37,0.2,random,12,12,13,4.654679508756526,,3.4666033768020608,1.0,Adiac,MrSQM
37,0.2,top,12,12,36,4.654679508756526,2.463515640623127,2.1911638681333985,1.0,Adiac,MrSQM
38,0.05,bottom,34,34,23,6.262950400339792,4.7098101120963385,1.553140288243453,1.0,Adiac,MrSQM
38,0.05,random,34,34,23,6.262950400339792,,3.191197010982806,1.0,Adiac,MrSQM
38,0.05,top,34,34,23,6.262950400339792,2.20923759805713,4.053712802282662,1.0,Adiac,MrSQM
38,0.1,bottom,34,34,34,6.262950400339792,5.394131339290507,0.868819061049285,0.0,Adiac,MrSQM
38,0.1,random,34,34,23,6.262950400339792,,2.969915012115747,1.0,Adiac,MrSQM
38,0.1,top,34,34,23,6.262950400339792,2.3262365911428784,3.936713809196913,1.0,Adiac,MrSQM
38,0.2,bottom,34,34,34,6.262950400339792,4.6830533269053545,1.579897073434437,0.0,Adiac,MrSQM
38,0.2,random,34,34,26,6.262950400339792,,3.801966792542096,1.0,Adiac,MrSQM
38,0.2,top,34,34,23,6.262950400339792,1.3294038713779213,4.933546528961871,1.0,Adiac,MrSQM
39,0.05,bottom,2,2,2,7.198958849715839,6.547020939831317,0.6519379098845226,0.0,Adiac,MrSQM
39,0.05,random,2,2,2,7.198958849715839,,1.976244383552593,0.0,Adiac,MrSQM
