Dataset,Train Size,Test Size,Length,No. of Classes,Type
EMOPain,1093,50,180,3,HAR
Epilepsy,137,138,207,4,HAR
ERing,30,270,65,6,HAR
GestureMidAirD1,208,130,360,26,HAR
GestureMidAirD2,208,130,360,26,HAR
GestureMidAirD3,208,130,360,26,HAR
GesturePebbleZ1,132,172,0,6,HAR
GesturePebbleZ2,146,158,0,6,HAR
GunPoint,50,150,150,2,HAR
GunPointAgeSpan,135,316,150,2,HAR
GunPointMaleVersusFemale,135,316,150,2,HAR
GunPointOldVersusYoung,135,316,150,2,HAR
Handwriting,150,850,152,26,HAR
Libras,180,180,45,15,HAR
MotionSenseHAR,217,144,200,6,HAR
NATOPS,180,180,51,6,HAR
PickupGestureWiimoteZ,50,50,0,10,HAR
RacketSports,151,152,30,4,HAR
ShakeGestureWiimoteZ,50,50,0,10,HAR
UWaveGestureLibrary,2238,2241,315,8,HAR
UWaveGestureLibraryAll,896,3582,945,8,HAR
UWaveGestureLibraryX,896,3582,315,8,HAR
UWaveGestureLibraryY,896,3582,315,8,HAR
UWaveGestureLibraryZ,896,3582,315,8,HAR
WalkingSittingStanding,7352,2947,206,6,HAR
PigAirwayPressure,104,208,2000,52,HEMODYNAMICS
PigArtPressure,104,208,2000,52,HEMODYNAMICS
PigCVP,104,208,2000,52,HEMODYNAMICS
Adiac,390,391,176,37,IMAGE
ArrowHead,36,175,251,3,IMAGE
BeetleFly,20,20,512,2,IMAGE
BirdChicken,20,20,512,2,IMAGE
Colposcopy,100,100,180,6,IMAGE
Crop,7200,16800,46,24,IMAGE
DiatomSizeReduction,16,306,345,4,IMAGE
DistalPhalanxOutlineAgeGroup,400,139,80,3,IMAGE
DistalPhalanxOutlineCorrect,600,276,80,2,IMAGE
DistalPhalanxTW,400,139,80,6,IMAGE
FaceAll,560,1690,131,14,IMAGE
FaceFour,24,88,350,4,IMAGE
FacesUCR,200,2050,131,14,IMAGE
FiftyWords,450,455,270,50,IMAGE
Fish,175,175,463,7,IMAGE
HandOutlines,1000,370,2709,2,IMAGE
Herring,64,64,512,2,IMAGE
MedicalImages,381,760,99,10,IMAGE
MiddlePhalanxOutlineAgeGroup,400,154,80,3,IMAGE
MiddlePhalanxOutlineCorrect,600,291,80,2,IMAGE
MiddlePhalanxTW,399,154,80,6,IMAGE
MixedShapesRegularTrain,500,2425,1024,5,IMAGE
MixedShapesSmallTrain,100,2425,1024,5,IMAGE
OSULeaf,200,242,427,6,IMAGE
PhalangesOutlinesCorrect,1800,858,80,2,IMAGE
ProximalPhalanxOutlineAgeGroup,400,205,80,3,IMAGE
ProximalPhalanxOutlineCorrect,600,291,80,2,IMAGE
ProximalPhalanxTW,400,205,80,6,IMAGE
ShapesAll,600,600,512,60,IMAGE
SwedishLeaf,500,625,128,15,IMAGE
Symbols,25,995,398,6,IMAGE
Tiselac,81714,17973,23,9,IMAGE
WordSynonyms,267,638,270,25,IMAGE
Yoga,300,3000,426,2,IMAGE
MindReading,727,653,200,5,MEG
ArticularyWordRecognition,275,300,144,25,MOTION
AsphaltObstacles,390,391,0,4,MOTION
AsphaltObstaclesCoordinates,390,391,0,4,MOTION
AsphaltPavementType,1055,1056,0,3,MOTION
AsphaltPavementTypeCoordinates,1055,1056,0,3,MOTION
AsphaltRegularity,751,751,0,2,MOTION
AsphaltRegularityCoordinates,751,751,0,2,MOTION
CharacterTrajectories,1422,1436,0,20,MOTION
EigenWorms,131,128,17984,5,MOTION
Haptics,155,308,1092,5,MOTION
InlineSkate,100,550,1882,7,MOTION
PenDigits,7494,3498,8,10,MOTION
ToeSegmentation1,40,228,277,2,MOTION
ToeSegmentation2,36,130,343,2,MOTION
Worms,181,77,900,5,MOTION
WormsTwoClass,181,77,900,2,MOTION
Fungi,18,186,201,18,OTHER
LSST,2459,2466,36,14,OTHER
PEMS-SF,267,173,144,7,OTHER
Car,60,60,577,4,SENSOR
DodgerLoopDay,78,80,288,7,SENSOR
DodgerLoopGame,20,138,288,2,SENSOR
DodgerLoopWeekend,20,138,288,2,SENSOR
Earthquakes,322,139,512,2,SENSOR
ElectricDeviceDetection,623,3767,256,2,SENSOR
FaultDetectionA,10912,2728,5120,3,SENSOR
FaultDetectionB,81,13559,5120,3,SENSOR
FordA,3601,1320,500,2,SENSOR
FordB,3636,810,500,2,SENSOR
ItalyPowerDemand,67,1029,24,2,SENSOR
KeplerLightCurves,920,399,4767,7,SENSOR
Lightning2,60,61,637,2,SENSOR
Lightning7,70,73,319,7,SENSOR
MoteStrain,20,1252,84,2,SENSOR
Plane,105,105,144,7,SENSOR
SonyAIBORobotSurface1,20,601,70,2,SENSOR
SonyAIBORobotSurface2,27,953,65,2,SENSOR
StarLightCurves,1000,8236,1024,3,SENSOR
Trace,100,100,275,4,SENSOR
Wafer,1000,6164,152,2,SENSOR
BME,30,150,128,3,SIMULATED
CBF,30,900,128,3,SIMULATED
ChlorineConcentration,467,3840,166,3,SIMULATED
Mallat,55,2345,1024,8,SIMULATED
ShapeletSim,20,180,500,2,SIMULATED
SmoothSubspace,150,150,15,3,SIMULATED
SyntheticControl,300,300,60,6,SIMULATED
TwoPatterns,1000,4000,128,4,SIMULATED
UMD,36,144,150,3,SIMULATED
Beef,30,30,470,5,SPECTRO
Coffee,28,28,286,2,SPECTRO
EthanolConcentration,261,263,1751,4,SPECTRO
EthanolLevel,504,500,1751,4,SPECTRO
Ham,109,105,431,2,SPECTRO
Meat,60,60,448,3,SPECTRO
OliveOil,30,30,570,4,SPECTRO
Rock,20,50,2844,4,SPECTRO
SemgHandGenderCh2,300,600,1500,2,SPECTRO
SemgHandMovementCh2,450,450,1500,6,SPECTRO
SemgHandSubjectCh2,450,450,1500,5,SPECTRO
Strawberry,613,370,235,2,SPECTRO
Wine,57,54,234,2,SPECTRO
SpokenArabicDigits,6599,2199,93,10,SPEECH
Chinatown,20,345,24,2,TRAFFIC
MelbournePedestrian,1194,2439,24,10,TRAFFIC
